main.js:8 --- 🚀 App Initializing ---
main.js:9 Initial State: followUser=true, headingUp=false
gps.js:121 磁偏角API失敗。系3の代表値を使用: 7.50°
updateDeclinationIfNeeded @ gps.js:121
gps.js:121 磁偏角API失敗。系3の代表値を使用: 7.50°
updateDeclinationIfNeeded @ gps.js:121
mapController.js:108 [toggle] headingUp=true
mapController.js:121 [Heading Snap] Synced all headings to 90.0°
mapController.js:170 [Rotation Spike] diff=-129.5° → 補間制限
mapController.js:170 [Rotation Spike] diff=-120.5° → 補間制限
mapController.js:170 [Rotation Spike] diff=-111.5° → 補間制限
mapController.js:170 [Rotation Spike] diff=-102.5° → 補間制限
mapController.js:170 [Rotation Spike] diff=-93.5° → 補間制限
mapController.js:170 [Rotation Spike] diff=112.1° → 補間制限
mapController.js:170 [Rotation Spike] diff=103.1° → 補間制限
mapController.js:170 [Rotation Spike] diff=94.1° → 補間制限
mapController.js:170 [Rotation Spike] diff=-91.1° → 補間制限
mapController.js:170 [Rotation Spike] diff=90.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=108.1° → 補間制限
mapController.js:170 [Rotation Spike] diff=99.1° → 補間制限
mapController.js:170 [Rotation Spike] diff=90.1° → 補間制限
mapController.js:170 [Rotation Spike] diff=-120.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-111.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-102.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-93.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-168.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-159.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-150.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-141.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-132.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-123.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-114.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-105.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-96.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=167.9° → 補間制限
mapController.js:170 [Rotation Spike] diff=158.9° → 補間制限
mapController.js:170 [Rotation Spike] diff=149.9° → 補間制限
mapController.js:170 [Rotation Spike] diff=140.9° → 補間制限
mapController.js:170 [Rotation Spike] diff=131.9° → 補間制限
mapController.js:170 [Rotation Spike] diff=122.9° → 補間制限
mapController.js:170 [Rotation Spike] diff=113.9° → 補間制限
mapController.js:170 [Rotation Spike] diff=104.9° → 補間制限
mapController.js:170 [Rotation Spike] diff=95.9° → 補間制限
mapController.js:13 --- 📺 Fullscreen Change Event Triggered ---
mapController.js:28 --- 🎯 Recenter (Immediate) after fullscreen change ---
mapController.js:36 --- 🎯 Recenter (Delayed) after fullscreen change ---
mapController.js:170 [Rotation Spike] diff=143.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=134.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=125.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=116.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=107.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=98.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=-135.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-126.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-117.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-108.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-99.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=-90.4° → 補間制限
mapController.js:170 [Rotation Spike] diff=164.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=155.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=146.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=137.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=128.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=119.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=110.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=101.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=92.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=-168.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=-159.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=-150.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=-141.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=-132.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=-123.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=-114.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=-105.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=-96.3° → 補間制限
mapController.js:170 [Rotation Spike] diff=150.7° → 補間制限
mapController.js:170 [Rotation Spike] diff=141.7° → 補間制限
mapController.js:170 [Rotation Spike] diff=132.7° → 補間制限
mapController.js:170 [Rotation Spike] diff=123.7° → 補間制限
