main.js:8 --- 🚀 App Initializing ---
main.js:9 Initial State: followUser=true, headingUp=false
gps.js:94 磁偏角API失敗。系3の代表値を使用: 7.50°
updateDeclinationIfNeeded @ gps.js:94
gps.js:174 [Compass] init 351.8° (TN)
gps.js:195 [Compass] update -> 350.8° (TN)
gps.js:195 [Compass] update -> 349.7° (TN)
gps.js:195 [Compass] update -> 348.7° (TN)
gps.js:195 [Compass] update -> 349.8° (TN)
gps.js:195 [Compass] update -> 350.8° (TN)
gps.js:195 [Compass] update -> 351.9° (TN)
gps.js:195 [Compass] update -> 352.9° (TN)
gps.js:195 [Compass] update -> 351.9° (TN)
gps.js:195 [Compass] update -> 350.9° (TN)
gps.js:195 [Compass] update -> 349.8° (TN)
gps.js:195 [Compass] update -> 348.7° (TN)
gps.js:195 [Compass] update -> 347.2° (TN)
gps.js:195 [Compass] update -> 348.3° (TN)
gps.js:195 [Compass] update -> 349.4° (TN)
gps.js:195 [Compass] update -> 350.5° (TN)
gps.js:195 [Compass] update -> 351.5° (TN)
gps.js:195 [Compass] update -> 352.6° (TN)
gps.js:195 [Compass] update -> 353.7° (TN)
gps.js:195 [Compass] update -> 354.7° (TN)
gps.js:195 [Compass] update -> 355.8° (TN)
gps.js:195 [Compass] update -> 356.9° (TN)
gps.js:195 [Compass] update -> 355.8° (TN)
gps.js:195 [Compass] update -> 354.7° (TN)
gps.js:195 [Compass] update -> 353.5° (TN)
gps.js:195 [Compass] update -> 352.5° (TN)
gps.js:195 [Compass] update -> 351.5° (TN)
gps.js:195 [Compass] update -> 350.5° (TN)
gps.js:195 [Compass] update -> 349.3° (TN)
gps.js:195 [Compass] update -> 348.2° (TN)
gps.js:195 [Compass] update -> 347.2° (TN)
gps.js:195 [Compass] update -> 346.2° (TN)
gps.js:195 [Compass] update -> 345.1° (TN)
mapController.js:108 [toggle] headingUp=true
mapController.js:121 [Heading Snap] Synced all headings to 345.1°
gps.js:195 [Compass] update -> 346.1° (TN)
gps.js:195 [Compass] update -> 347.2° (TN)
gps.js:195 [Compass] update -> 348.2° (TN)
gps.js:195 [Compass] update -> 349.2° (TN)
gps.js:195 [Compass] update -> 350.3° (TN)
gps.js:195 [Compass] update -> 351.4° (TN)
gps.js:195 [Compass] update -> 352.4° (TN)
gps.js:195 [Compass] update -> 353.4° (TN)
gps.js:195 [Compass] update -> 354.4° (TN)
gps.js:195 [Compass] update -> 355.4° (TN)
gps.js:195 [Compass] update -> 356.4° (TN)
gps.js:195 [Compass] update -> 355.3° (TN)
mapController.js:94 [toggle] followUser=false
gps.js:195 [Compass] update -> 356.4° (TN)
gps.js:195 [Compass] update -> 357.6° (TN)
gps.js:195 [Compass] update -> 358.8° (TN)
gps.js:195 [Compass] update -> 360.0° (TN)
gps.js:195 [Compass] update -> 1.1° (TN)
gps.js:195 [Compass] update -> 2.3° (TN)
gps.js:195 [Compass] update -> 3.4° (TN)
gps.js:195 [Compass] update -> 4.6° (TN)
gps.js:195 [Compass] update -> 5.7° (TN)
gps.js:195 [Compass] update -> 6.8° (TN)
