main.js:8 --- 🚀 App Initializing ---
main.js:9 Initial State: followUser=true, headingUp=false
gps.js:121 磁偏角API失敗。系3の代表値を使用: 7.50°
updateDeclinationIfNeeded @ gps.js:121
gps.js:208 [Compass] init 3.4° (TN)
mapController.js:108 [toggle] headingUp=true
mapController.js:121 [Heading Snap] Synced all headings to 3.4°
gps.js:231 [Compass] update -> 4.4° (TN)
gps.js:231 [Compass] update -> 5.4° (TN)
gps.js:231 [Compass] update -> 6.4° (TN)
gps.js:231 [Compass] update -> 7.5° (TN)
gps.js:231 [Compass] update -> 8.5° (TN)
gps.js:231 [Compass] update -> 9.5° (TN)
gps.js:231 [Compass] update -> 10.5° (TN)
gps.js:231 [Compass] update -> 11.6° (TN)
gps.js:231 [Compass] update -> 12.6° (TN)
gps.js:231 [Compass] update -> 13.7° (TN)
gps.js:231 [Compass] update -> 14.9° (TN)
gps.js:231 [Compass] update -> 16.0° (TN)
gps.js:231 [Compass] update -> 17.1° (TN)
gps.js:231 [Compass] update -> 18.1° (TN)
gps.js:231 [Compass] update -> 19.2° (TN)
gps.js:231 [Compass] update -> 20.3° (TN)
gps.js:231 [Compass] update -> 21.4° (TN)
gps.js:231 [Compass] update -> 22.5° (TN)
gps.js:231 [Compass] update -> 23.6° (TN)
gps.js:231 [Compass] update -> 24.7° (TN)
gps.js:231 [Compass] update -> 25.8° (TN)
gps.js:231 [Compass] update -> 24.7° (TN)
gps.js:231 [Compass] update -> 23.7° (TN)
gps.js:231 [Compass] update -> 22.5° (TN)
gps.js:231 [Compass] update -> 21.3° (TN)
gps.js:231 [Compass] update -> 20.2° (TN)
gps.js:231 [Compass] update -> 19.2° (TN)
gps.js:231 [Compass] update -> 18.2° (TN)
gps.js:231 [Compass] update -> 17.1° (TN)
gps.js:231 [Compass] update -> 16.0° (TN)
gps.js:231 [Compass] update -> 14.8° (TN)
gps.js:231 [Compass] update -> 13.7° (TN)
gps.js:231 [Compass] update -> 12.5° (TN)
gps.js:231 [Compass] update -> 11.5° (TN)
gps.js:231 [Compass] update -> 10.5° (TN)
gps.js:231 [Compass] update -> 9.5° (TN)
gps.js:231 [Compass] update -> 8.4° (TN)
gps.js:231 [Compass] update -> 7.3° (TN)
gps.js:231 [Compass] update -> 6.2° (TN)
gps.js:231 [Compass] update -> 5.2° (TN)
gps.js:231 [Compass] update -> 4.2° (TN)
gps.js:231 [Compass] update -> 3.1° (TN)
gps.js:231 [Compass] update -> 2.1° (TN)
gps.js:231 [Compass] update -> 1.1° (TN)
gps.js:231 [Compass] update -> 359.9° (TN)
gps.js:231 [Compass] update -> 358.9° (TN)
gps.js:231 [Compass] update -> 357.9° (TN)
gps.js:231 [Compass] update -> 356.9° (TN)
gps.js:231 [Compass] update -> 355.9° (TN)
gps.js:231 [Compass] update -> 354.8° (TN)
gps.js:231 [Compass] update -> 355.8° (TN)
gps.js:231 [Compass] update -> 356.9° (TN)
gps.js:231 [Compass] update -> 357.9° (TN)
gps.js:231 [Compass] update -> 359.0° (TN)
gps.js:231 [Compass] update -> 0.0° (TN)
gps.js:231 [Compass] update -> 1.1° (TN)
gps.js:231 [Compass] update -> 2.2° (TN)
gps.js:231 [Compass] update -> 3.4° (TN)
gps.js:231 [Compass] update -> 4.5° (TN)
gps.js:231 [Compass] update -> 5.6° (TN)
gps.js:231 [Compass] update -> 6.7° (TN)
gps.js:231 [Compass] update -> 7.8° (TN)
gps.js:231 [Compass] update -> 8.8° (TN)
gps.js:231 [Compass] update -> 9.8° (TN)
gps.js:231 [Compass] update -> 10.9° (TN)
gps.js:231 [Compass] update -> 12.0° (TN)
gps.js:231 [Compass] update -> 13.1° (TN)
gps.js:231 [Compass] update -> 14.1° (TN)
gps.js:231 [Compass] update -> 15.2° (TN)
gps.js:231 [Compass] update -> 16.3° (TN)
gps.js:231 [Compass] update -> 17.3° (TN)
gps.js:231 [Compass] update -> 18.4° (TN)
gps.js:231 [Compass] update -> 19.4° (TN)
gps.js:231 [Compass] update -> 20.5° (TN)
gps.js:231 [Compass] update -> 21.5° (TN)
gps.js:231 [Compass] update -> 22.6° (TN)
gps.js:231 [Compass] update -> 23.7° (TN)
gps.js:231 [Compass] update -> 22.7° (TN)
gps.js:231 [Compass] update -> 21.6° (TN)
gps.js:231 [Compass] update -> 20.5° (TN)
gps.js:231 [Compass] update -> 19.5° (TN)
gps.js:231 [Compass] update -> 18.2° (TN)
gps.js:231 [Compass] update -> 17.1° (TN)
gps.js:231 [Compass] update -> 16.0° (TN)
gps.js:231 [Compass] update -> 14.9° (TN)
gps.js:231 [Compass] update -> 13.7° (TN)
gps.js:231 [Compass] update -> 12.7° (TN)
gps.js:231 [Compass] update -> 11.7° (TN)
gps.js:231 [Compass] update -> 10.5° (TN)
gps.js:231 [Compass] update -> 9.4° (TN)
gps.js:231 [Compass] update -> 8.4° (TN)
gps.js:231 [Compass] update -> 7.3° (TN)
gps.js:231 [Compass] update -> 6.2° (TN)
